name,openingHours,SubwayStation 1,same_as_wikidata_SubwayStation1,SubwayStation 2,same_as_wikidata_SubwayStation2,SubwayStation 3,same_as_wikidata_SubwayStation3,busLine,description,accesibility,url,address,COD-MadridNeighborhood,MadridNeighborhood,same_as_wikidata_MadridNeighborhood,COD-District,District,same_as_wikidata_District,latitude,longitude,telephone
Canal de Panamá,De 8:15 a 18 horas de Lunes a Viernes.,Barrio de la Concepción,https://wikidata.org/entity/Q2696985,,,,,"21, 53","Documentación a aportar:   - Solicitud en impreso específico. - Informe médico donde se indique el diagnóstico o enfermedad. - Certificación de pensiones expedida por el servicio competente (seguridad social, ministerio de hacienda, etc) sobre el percibo de pensiones. - Fotocopia de la última declaración de la renta, o certificación negativa de la agencia tributaria, tanto del solicitante como del cónyuge o pareja de hecho, en su caso.  Información complementaria:  - Presentación de la solicitud en el centro de servicios sociales correspondiente al distrito municipal donde esté empadronado o resida el solicitante. - Valoración y propuesta por parte del trabajador social municipal. - Alta del servicio: Una vez valorada la idoneidad de la prestación del servicio por los técnicos municipales, la ocupación de la plaza vendrá determinada por la disponibilidad de plazas vacantes.",true,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=ab9138d60b41c010VgnVCM2000000c205a0aRCRD,"CALLE CANAL DE PANAMA, 8, 28027 MADRID",5,San Pascual,https://wikidata.org/entity/Q165612,15,Ciudad Lineal,https://wikidata.org/entity/Q1763694,40.44030437921839,-3.651155675752811,917 547 726
Carmen Conde,De 8:15 a 18 horas de Lunes a Viernes.,Antón Martín,https://wikidata.org/entity/Q2473940,,,,,"6, 26, 32","Documentación a aportar:   - Solicitud en impreso específico. - Informe médico donde se indique el diagnóstico o enfermedad. - Certificación de pensiones expedida por el servicio competente (seguridad social, ministerio de hacienda, etc) sobre el percibo de pensiones. - Fotocopia de la última declaración de la renta, o certificación negativa de la agencia tributaria, tanto del solicitante como del cónyuge o pareja de hecho, en su caso.  Información complementaria:  - Presentación de la solicitud en el centro de servicios sociales correspondiente al distrito municipal donde esté empadronado o resida el solicitante. - Valoración y propuesta por parte del trabajador social municipal. - Alta del servicio: Una vez valorada la idoneidad de la prestación del servicio por los técnicos municipales, la ocupación de la plaza vendrá determinada por la disponibilidad de plazas vacantes.",false,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=39c1a2d7fe222110VgnVCM1000000b205a0aRCRD,"CALLE AVE MARIA, 6, 28012 MADRID",2,Embajadores,https://wikidata.org/entity/Q2449844,1,Centro,https://wikidata.org/entity/Q1763376,40.41183679549594,-3.700312140810963,919 907 719
Carmen Laforet,De 8:15 a 18 horas de Lunes a Viernes.,,,,,,,"29, 125, 129, 150","Documentación a aportar:   - Solicitud en impreso específico. - Informe médico donde se indique el diagnóstico o enfermedad. - Certificación de pensiones expedida por el servicio competente (seguridad social, ministerio de hacienda, etc) sobre el percibo de pensiones. - Fotocopia de la última declaración de la renta, o certificación negativa de la agencia tributaria, tanto del solicitante como del cónyuge o pareja de hecho, en su caso.  Información complementaria:  - Presentación de la solicitud en el centro de servicios sociales correspondiente al distrito municipal donde esté empadronado o resida el solicitante. - Valoración y propuesta por parte del trabajador social municipal. - Alta del servicio: Una vez valorada la idoneidad de la prestación del servicio por los técnicos municipales, la ocupación de la plaza vendrá determinada por la disponibilidad de plazas vacantes.",true,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=42b0fca4c9222110VgnVCM1000000b205a0aRCRD,"CALLE DALIA, 11, 28033 MADRID",9,Costillares,https://wikidata.org/entity/Q331385,15,Ciudad Lineal,https://wikidata.org/entity/Q1763694,40.479916756373086,-3.666981869808204,917 547 725
Casa de Campo,De 8:15 a 18 horas de Lunes a Viernes.,Alto de Extremadura,https://wikidata.org/entity/Q2482103,,,,,"31, 33, 36, 39, 65","hacienda, etc) sobre el percibo de pensiones. - Fotocopia de la última declaración de la renta, o certificación negativa de la agencia tributaria, tanto del solicitante como del cónyuge o pareja de hecho, en su caso.  Información complementaria:  - Presentación de la solicitud en el centro de servicios sociales correspondiente al distrito municipal donde esté empadronado o resida el solicitante. - Valoración y propuesta por parte del trabajador social municipal. - Alta del servicio: Una vez valorada la idoneidad de la prestación del servicio por los técnicos municipales, la ocupación de la plaza vendrá determinada por la disponibilidad de plazas vacantes.",true,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=87b98899fc81c010VgnVCM1000000b205a0aRCRD,"CALLE PRINCIPAL DE PROVINCIAS, 21, 28011 MADRID",1,Casa de Campo,https://wikidata.org/entity/Q16302441,9,Moncloa-Aravaca,https://wikidata.org/entity/Q2017682,40.41263811665935,-3.736633830449523,914 641 063
Casino de la Reina,De 8:15 a 18 horas de Lunes a Viernes.,Acacias / Embajadores,https://wikidata.org/entity/Q2305840,,,,,"27, 31, 36, 41, 47, 60, 78, 116, 118, 119, 148Renfe: Embajadores","Documentación a aportar:   - Solicitud en impreso específico. - Informe médico donde se indique el diagnóstico o enfermedad. - Certificación de pensiones expedida por el servicio competente (seguridad social, ministerio de hacienda, etc) sobre el percibo de pensiones. - Fotocopia de la última declaración de la renta, o certificación negativa de la agencia tributaria, tanto del solicitante como del cónyuge o pareja de hecho, en su caso.  Información complementaria:  - Presentación de la solicitud en el centro de servicios sociales correspondiente al distrito municipal donde esté empadronado o resida el solicitante. - Valoración y propuesta por parte del trabajador social municipal. - Alta del servicio: Una vez valorada la idoneidad de la prestación del servicio por los técnicos municipales, la ocupación de la plaza vendrá determinada por la disponibilidad de plazas vacantes.",false,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=f1c138d60b41c010VgnVCM2000000c205a0aRCRD,"CALLE CASINO, 5, 28005 MADRID",2,Embajadores,https://wikidata.org/entity/Q2449844,1,Centro,https://wikidata.org/entity/Q1763376,40.4065430951499,-3.705643094864955,915 396 310
Castillo de Uclés,De 8:15 a 18 horas de lunes a viernes.,Simancas,https://wikidata.org/entity/Q2481349,,,,,28,"Documentación a aportar:   - Solicitud en impreso específico. - Informe médico donde se indique el diagnóstico o enfermedad. - Certificación de pensiones expedida por el servicio competente (seguridad social, ministerio de hacienda, etc) sobre el percibo de pensiones. - Fotocopia de la última declaración de la renta, o certificación negativa de la agencia tributaria, tanto del solicitante como del cónyuge o pareja de hecho, en su caso.  Información complementaria:  - Presentación de la solicitud en el centro de servicios sociales correspondiente al distrito municipal donde esté empadronado o resida el solicitante. - Valoración y propuesta por parte del trabajador social municipal. - Alta del servicio: Una vez valorada la idoneidad de la prestación del servicio por los técnicos municipales, la ocupación de la plaza vendrá determinada por la disponibilidad de plazas vacantes.",true,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=d4b1085f5181c010VgnVCM1000000b205a0aRCRD,"CALLE CASTILLO DE UCLES, 35, 28037 MADRID",1,Simancas,https://wikidata.org/entity/Q10371626,20,San Blas,https://wikidata.org/entity/Q2001937,40.43106180744466,-3.6232433423754538,917 547 733
Ciudad Pegaso Cognitivo,De 8:15 a 18 horas de Lunes a Viernes.,,,,,,,77,"Documentación a aportar:   - Solicitud en impreso específico. - Informe médico donde se indique el diagnóstico o enfermedad. - Certificación de pensiones expedida por el servicio competente (seguridad social, ministerio de hacienda, etc) sobre el percibo de pensiones. - Fotocopia de la última declaración de la renta, o certificación negativa de la agencia tributaria, tanto del solicitante como del cónyuge o pareja de hecho, en su caso.  Información complementaria:  - Presentación de la solicitud en el centro de servicios sociales correspondiente al distrito municipal donde esté empadronado o resida el solicitante. - Valoración y propuesta por parte del trabajador social municipal. - Alta del servicio: Una vez valorada la idoneidad de la prestación del servicio por los técnicos municipales, la ocupación de la plaza vendrá determinada por la disponibilidad de plazas vacantes.",true,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=c2544b052b679610VgnVCM1000001d4a900aRCRD,"AVENIDA QUINTA, 5, 28022 MADRID",6,Rejas,https://wikidata.org/entity/Q10359029,20,San Blas,https://wikidata.org/entity/Q2001937,40.447438655156404,-3.5962132255605614,917 547 734
Ciudad Pegaso Físicos,De 8:15 a 18 horas de Lunes a Viernes.,,,,,,,77,"Documentación a aportar:   - Solicitud en impreso específico. - Informe médico donde se indique el diagnóstico o enfermedad. - Certificación de pensiones expedida por el servicio competente (seguridad social, ministerio de hacienda, etc) sobre el percibo de pensiones. - Fotocopia de la última declaración de la renta, o certificación negativa de la agencia tributaria, tanto del solicitante como del cónyuge o pareja de hecho, en su caso.  Información complementaria:  - Presentación de la solicitud en el centro de servicios sociales correspondiente al distrito municipal donde esté empadronado o resida el solicitante. - Valoración y propuesta por parte del trabajador social municipal. - Alta del servicio: Una vez valorada la idoneidad de la prestación del servicio por los técnicos municipales, la ocupación de la plaza vendrá determinada por la disponibilidad de plazas vacantes.",true,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=ddd98899fc81c010VgnVCM1000000b205a0aRCRD,"AVENIDA QUINTA, 5, 28022 MADRID",6,Rejas,https://wikidata.org/entity/Q10359029,20,San Blas,https://wikidata.org/entity/Q2001937,40.447438655156404,-3.5962132255605614,917 547 734
Concepción Arenal,De 8:15 a 18 horas de Lunes a Viernes.,Mar de Cristal,https://wikidata.org/entity/Q2597956,Canillas,https://wikidata.org/entity/Q2481265,,,"87, 73","Documentación a aportar:   - Solicitud en impreso específico. - Informe médico donde se indique el diagnóstico o enfermedad. - Certificación de pensiones expedida por el servicio competente (seguridad social, ministerio de hacienda, etc) sobre el percibo de pensiones. - Fotocopia de la última declaración de la renta, o certificación negativa de la agencia tributaria, tanto del solicitante como del cónyuge o pareja de hecho, en su caso.  Información complementaria:  - Presentación de la solicitud en el centro de servicios sociales correspondiente al distrito municipal donde esté empadronado o resida el solicitante. - Valoración y propuesta por parte del trabajador social municipal. - Alta del servicio: Una vez valorada la idoneidad de la prestación del servicio por los técnicos municipales, la ocupación de la plaza vendrá determinada por la disponibilidad de plazas vacantes.",true,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=44f6d4985261c010VgnVCM1000000b205a0aRCRD,"CALLE JAVIER DEL QUINTO, 12, 28043 MADRID",3,Canillas,https://wikidata.org/entity/Q9694341,16,Hortaleza,https://wikidata.org/entity/Q1928529,40.46655261519155,-3.6422084742926653,913 820 736
El Pardo Cognitivo,De 8:15 a 18 horas de Lunes a Viernes.,,,,,,,601,"Documentación a aportar:   - Solicitud en impreso específico. - Informe médico donde se indique el diagnóstico o enfermedad. - Certificación de pensiones expedida por el servicio competente (seguridad social, ministerio de hacienda, etc) sobre el percibo de pensiones. - Fotocopia de la última declaración de la renta, o certificación negativa de la agencia tributaria, tanto del solicitante como del cónyuge o pareja de hecho, en su caso.  Información complementaria:  - Presentación de la solicitud en el centro de servicios sociales correspondiente al distrito municipal donde esté empadronado o resida el solicitante. - Valoración y propuesta por parte del trabajador social municipal. - Alta del servicio: Una vez valorada la idoneidad de la prestación del servicio por los técnicos municipales, la ocupación de la plaza vendrá determinada por la disponibilidad de plazas vacantes.",true,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=a5f89b17ec679610VgnVCM1000001d4a900aRCRD,"CALLE GENERAL URRUTIA, 1, 28048 MADRID",1,El Pardo,https://wikidata.org/entity/Q3314337,8,Fuencarral-El Pardo,https://wikidata.org/entity/Q656196,40.51512789839167,-3.7746186974995117,916 313 737
El Pardo Físico,De 8:15 a 18 horas de Lunes a Viernes.,,,,,,,601,"Documentación a aportar:   - Solicitud en impreso específico. - Informe médico donde se indique el diagnóstico o enfermedad. - Certificación de pensiones expedida por el servicio competente (seguridad social, ministerio de hacienda, etc) sobre el percibo de pensiones. - Fotocopia de la última declaración de la renta, o certificación negativa de la agencia tributaria, tanto del solicitante como del cónyuge o pareja de hecho, en su caso.  Información complementaria:  - Presentación de la solicitud en el centro de servicios sociales correspondiente al distrito municipal donde esté empadronado o resida el solicitante. - Valoración y propuesta por parte del trabajador social municipal. - Alta del servicio: Una vez valorada la idoneidad de la prestación del servicio por los técnicos municipales, la ocupación de la plaza vendrá determinada por la disponibilidad de plazas vacantes.",true,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=eb590a47f441f010VgnVCM2000000c205a0aRCRD,"CALLE GENERAL URRUTIA, 1, 28048 MADRID",1,El Pardo,https://wikidata.org/entity/Q3314337,8,Fuencarral-El Pardo,https://wikidata.org/entity/Q656196,40.51512789839167,-3.7746186974995117,916 313 737
Entrevías,De 8:15 a 18 horas de Lunes a Viernes.,,,,,,,"102, 103","Documentación a aportar:   - Solicitud en impreso específico. - Informe médico donde se indique el diagnóstico o enfermedad. - Certificación de pensiones expedida por el servicio competente (seguridad social, ministerio de hacienda, etc) sobre el percibo de pensiones. - Fotocopia de la última declaración de la renta, o certificación negativa de la agencia tributaria, tanto del solicitante como del cónyuge o pareja de hecho, en su caso.  Información complementaria:  - Presentación de la solicitud en el centro de servicios sociales correspondiente al distrito municipal donde esté empadronado o resida el solicitante. - Valoración y propuesta por parte del trabajador social municipal. - Alta del servicio: Una vez valorada la idoneidad de la prestación del servicio por los técnicos municipales, la ocupación de la plaza vendrá determinada por la disponibilidad de plazas vacantes.",true,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=e047d4985261c010VgnVCM1000000b205a0aRCRD,"CALLE YUSTE, 8, 28053 MADRID",1,Entrevías,https://wikidata.org/entity/Q71756,13,Puente de Vallecas,https://wikidata.org/entity/Q2003054,40.37641666740886,-3.6692821142332264,914 938 174
Esfinge Cognitivo,De 8:15 a 18 horas de Lunes a Viernes.,Canillejas,https://wikidata.org/entity/Q930999,,,,,"28, 48","Documentación a aportar:   - Solicitud en impreso específico. - Informe médico donde se indique el diagnóstico o enfermedad. - Certificación de pensiones expedida por el servicio competente (seguridad social, ministerio de hacienda, etc) sobre el percibo de pensiones. - Fotocopia de la última declaración de la renta, o certificación negativa de la agencia tributaria, tanto del solicitante como del cónyuge o pareja de hecho, en su caso.  Información complementaria:  - Presentación de la solicitud en el centro de servicios sociales correspondiente al distrito municipal donde esté empadronado o resida el solicitante. - Valoración y propuesta por parte del trabajador social municipal. - Alta del servicio: Una vez valorada la idoneidad de la prestación del servicio por los técnicos municipales, la ocupación de la plaza vendrá determinada por la disponibilidad de plazas vacantes.",true,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=48e54b052b679610VgnVCM1000001d4a900aRCRD,"CALLE ESFINGE, 35, 28022 MADRID",7,Canillejas,https://wikidata.org/entity/Q663013,20,San Blas,https://wikidata.org/entity/Q2001937,40.445551214890436,-3.6108894098812616,917 547 732
